UBS_LON,UBS_LAT,UF,CITY,CITY_LON,CITY_LAT,POPULATION_2021,PIB_2019
-47.98855,-15.81022,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.93,-15.78,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-40.32338,-20.31734,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.3509,-20.31085,ES,Vitória,-40.33,-20.31,369534,21614893.397
-43.956,-19.817,MG,Belo Horizonte,-43.95,-19.81,2530701,97205324.544
-40.34958,-20.32217,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.29476,-20.26023,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.34915,-20.31631,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.26946,-20.25547,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.35291,-20.31521,ES,Vitória,-40.33,-20.31,369534,21614893.397
-44.61902,-3.26509,MA,Anajatuba,-44.61,-3.26,27170,171295.332
-40.31161,-20.29792,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.29207,-20.27258,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.33236,-20.27795,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.31907,-20.31273,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.30429,-20.30324,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.33691,-20.31669,ES,Vitória,-40.33,-20.31,369534,21614893.397
-40.34049,-20.32011,ES,Vitória,-40.33,-20.31,369534,21614893.397
-43.104,-22.883,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-43.09853,-22.87113,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-43.04908,-22.87664,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-43.104,-22.883,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-43.1215,-22.89972,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-43.12443,-22.89205,RJ,Niterói,-43.1,-22.88,516981,46553203.145
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-37.11464,-10.92504,SE,Aracaju,-37.07,-10.91,672614,17534512.574
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-49.055,-25.306,PR,Campina Grande do Sul,-49.05,-25.3,44072,1578175.396
-49.055,-25.306,PR,Campina Grande do Sul,-49.05,-25.3,44072,1578175.396
-49.31,-25.325,PR,Almirante Tamandaré,-49.31,-25.32,121420,1630818.654
-49.62696,-25.29592,PR,Campina Grande do Sul,-49.05,-25.3,44072,1578175.396
-48.6481,-25.09181,PR,Campina Grande do Sul,-49.05,-25.3,44072,1578175.396
-49.40503,-25.43062,PR,Campo Largo,-49.52,-25.45,135678,4721814.328
-49.528,-25.459,PR,Campo Largo,-49.52,-25.45,135678,4721814.328
-46.91843,-20.58288,MG,Cássia,-46.92,-20.58,17741,337388.473
-49.528,-25.459,PR,Campo Largo,-49.52,-25.45,135678,4721814.328
-49.47986,-25.44719,PR,Campo Largo,-49.52,-25.45,135678,4721814.328
-49.451,-25.369,PR,Campo Magro,-49.45,-25.36,30151,434876.593
-49.451,-25.369,PR,Campo Magro,-49.45,-25.36,30151,434876.593
-49.451,-25.369,PR,Campo Magro,-49.45,-25.36,30151,434876.593
-52.35509,-24.02154,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.37054,-24.05107,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.41845,-24.05628,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.36994,-24.02367,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.40328,-24.04447,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.37894,-24.03242,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-52.30758,-24.04092,PR,Campo Mourão,-52.38,-24.04,96102,3870714.996
-49.22653,-25.29069,PR,Colombo,-49.22,-25.29,249277,5402335.659
-49.224,-25.292,PR,Colombo,-49.22,-25.29,249277,5402335.659
-49.20442,-25.35494,PR,Colombo,-49.22,-25.29,249277,5402335.659
-49.23265,-25.31883,PR,Colombo,-49.22,-25.29,249277,5402335.659
-49.13917,-25.34564,PR,Colombo,-49.22,-25.29,249277,5402335.659
-49.53987,-25.67916,PR,Contenda,-49.53,-25.67,19082,403242.859
-49.47075,-25.71022,PR,Contenda,-49.53,-25.67,19082,403242.859
-49.3086,-25.49123,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.33531,-25.49597,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.31792,-25.47773,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.27492,-25.47872,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.27384,-25.47164,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.34925,-25.50113,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.3276,-25.48476,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.33679,-25.48023,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.34367,-25.47505,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.28313,-25.49003,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.30344,-25.49738,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.27746,-25.46675,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.30223,-25.48484,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.36096,-25.42106,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.32732,-25.45772,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.30163,-25.41371,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.36236,-25.43919,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.34784,-25.4185,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.37851,-25.45582,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.35315,-25.42868,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.30782,-25.43779,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.273,-25.428,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.35512,-25.45389,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.32847,-25.40208,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.26346,-25.54722,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.24735,-25.55132,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-35.38793,-8.58368,PE,Gameleira,-35.38,-8.58,31578,236949.049
-49.33667,-25.58146,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.2772,-25.54341,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.29423,-25.55413,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.26529,-25.52683,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.21776,-25.43413,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.20596,-25.45181,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.19611,-25.47717,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.19814,-25.46806,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.20357,-25.48581,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.21478,-25.46151,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.2176,-25.45229,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.34264,-25.45768,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.26966,-25.50836,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.22179,-25.50736,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.22588,-25.51654,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.26056,-25.49141,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.27003,-25.52111,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.27722,-25.51656,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.25084,-25.53205,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
-49.22784,-25.49733,PR,Curitiba,-49.27,-25.42,1963726,96088148.893
